project_id,employee_id,start_date,end_date,project_status,department
1,501,8/1/2022,12/31/2023,Ongoing,IT
1,3,8/1/2022,12/31/2023,Ongoing,Sales  
1,233,8/1/2022,12/31/2023,Ongoing,Marketing
2,169,9/15/2022,6/30/2024,Ongoing,IT
2,527,9/15/2022,6/30/2024,Ongoing,Engineering
2,23,9/15/2022,6/30/2024,Ongoing,Customer Service
3,578,10/1/2022,2/28/2024,Ongoing,Operations
3,718,10/1/2022,2/28/2024,Ongoing,Customer Service
3,51,10/1/2022,2/28/2024,Ongoing,Finance
4,641,11/1/2022,10/31/2023,Completed,IT
4,236,11/1/2022,10/31/2023,Completed,IT
4,176,11/1/2022,10/31/2023,Completed,HR
5,573,12/1/2022,4/30/2024,Ongoing,Engineering
5,871,12/1/2022,4/30/2024,Ongoing,Operations
5,415,12/1/2022,4/30/2024,Ongoing,Operations
6,54,1/1/2023,3/31/2024,Ongoing,Finance
6,894,1/1/2023,3/31/2024,Ongoing,IT
6,329,1/1/2023,3/31/2024,Ongoing,IT
7,677,2/1/2023,6/30/2024,Ongoing,Engineering
7,195,2/1/2023,6/30/2024,Ongoing,IT
7,740,2/1/2023,6/30/2024,Ongoing,IT
8,275,3/1/2023,5/31/2024,Ongoing,Customer Service
8,884,3/1/2023,5/31/2024,Ongoing,Engineering
8,142,3/1/2023,5/31/2024,Ongoing,HR
9,799,4/1/2023,8/31/2024,Ongoing,IT
9,509,4/1/2023,8/31/2024,Ongoing,Marketing
9,935,4/1/2023,8/31/2024,Ongoing,Customer Service
10,284,5/1/2023,9/30/2024,Ongoing,Customer Service
10,822,5/1/2023,9/30/2024,Ongoing,Finance
10,393,5/1/2023,9/30/2024,Ongoing,Engineering
11,872,6/1/2023,7/31/2024,Ongoing,Operations
11,119,6/1/2023,7/31/2024,Ongoing,Operations
11,644,6/1/2023,7/31/2024,Ongoing,Finance
12,257,7/1/2023,12/31/2023,Completed,Marketing
12,809,7/1/2023,12/31/2023,Completed,Operations
12,326,7/1/2023,12/31/2023,Completed,Customer Service
13,852,8/1/2023,1/31/2024,OnHold,Marketing
13,164,8/1/2023,1/31/2024,OnHold,Marketing
13,758,8/1/2023,1/31/2024,OnHold,Finance
14,38,9/1/2023,3/14/2024,Ongoing,Marketing
14,602,9/1/2023,3/14/2024,Ongoing,Operations
14,214,9/1/2023,3/14/2024,Ongoing,IT
15,894,10/1/2023,4/14/2024,Ongoing,Finance
15,379,10/1/2023,4/14/2024,Ongoing,Engineering
15,921,10/1/2023,4/14/2024,Ongoing,Customer Service
16,466,11/1/2023,5/14/2024,Ongoing,Customer Service
16,934,11/1/2023,5/14/2024,Ongoing,HR
16,60,11/1/2023,5/14/2024,Ongoing,Customer Service
17,712,12/1/2023,6/14/2024,Ongoing,Finance
17,268,12/1/2023,6/14/2024,Ongoing,Operations
17,837,12/1/2023,6/14/2024,Ongoing,HR
57,31,10/1/2023,9/30/2024,Ongoing,Engineering
57,646,10/1/2023,9/30/2024,Ongoing,Finance
57,130,10/1/2023,9/30/2024,Ongoing,IT
58,765,11/1/2022,10/31/2023,Completed,Engineering
58,255,11/2/2022,11/1/2023,Completed,Finance
58,840,11/3/2022,11/2/2023,Completed,Marketing
59,502,12/1/2021,11/30/2022,Completed,Engineering
59,69,12/1/2021,11/30/2022,Completed,IT
59,686,12/1/2021,11/30/2022,Completed,Operations
60,353,1/1/2023,12/31/2023,Completed,Engineering
60,972,1/1/2023,12/31/2023,Completed,Finance
60,487,1/1/2023,12/31/2023,Completed,Marketing
61,820,2/1/2022,1/31/2023,Completed,Engineering
61,312,2/1/2022,1/31/2023,Completed,IT
61,974,2/1/2022,1/31/2023,Completed,Finance
62,571,3/1/2021,2/28/2022,Completed,Engineering
62,97,3/1/2021,2/28/2022,Completed,IT
62,735,3/1/2021,2/28/2022,Completed,Operations
63,530,4/1/2021,3/31/2022,Completed,Engineering
63,14,4/1/2021,3/31/2022,Completed,IT
63,677,4/1/2021,3/31/2022,Completed,Operations
64,412,5/1/2022,4/30/2023,Completed,Engineering
64,937,5/1/2022,4/30/2023,Completed,Marketing
64,394,5/1/2022,4/30/2023,Completed,IT
65,828,6/1/2021,5/31/2022,Completed,Engineering
65,310,6/1/2021,5/31/2022,Completed,Operations
65,985,6/1/2021,5/31/2022,Completed,IT
66,578,7/1/2023,6/30/2024,Ongoing,Engineering
66,147,7/1/2023,6/30/2024,Ongoing,Finance
66,734,7/1/2023,6/30/2024,Ongoing,IT
67,991,8/1/2022,7/31/2023,Completed,Engineering
67,457,8/1/2022,7/31/2023,Completed,IT
67,75,8/1/2022,7/31/2023,Completed,Marketing
68,862,9/1/2021,8/31/2022,Completed,Engineering
68,325,9/1/2021,8/31/2022,Completed,Finance
68,958,9/1/2021,8/31/2022,Completed,IT
69,629,10/1/2022,9/30/2023,Completed,Engineering
69,165,10/1/2022,9/30/2023,Completed,Finance
69,811,10/1/2022,9/30/2023,Completed,Operations
70,428,11/1/2022,10/31/2023,Completed,Engineering
70,975,11/1/2022,10/31/2023,Completed,IT
70,341,11/1/2022,10/31/2023,Completed,Marketing
71,906,12/1/2023,11/30/2024,Ongoing,Engineering
71,300,12/1/2023,11/30/2024,Ongoing,IT
71,971,12/1/2023,11/30/2024,Ongoing,Marketing
72,813,1/1/2023,12/31/2023,Completed,Engineering
72,319,1/1/2023,12/31/2023,Completed,IT
72,54,1/1/2023,12/31/2023,Completed,Marketing
73,989,2/1/2024,1/31/2025,Ongoing,Engineering
73,414,2/1/2024,1/31/2025,Ongoing,Finance
73,64,2/1/2024,1/31/2025,Ongoing,Marketing
74,953,3/1/2023,2/29/2024,Ongoing,Engineering
74,397,3/1/2023,2/29/2024,Ongoing,Finance
74,25,3/1/2023,2/29/2024,Ongoing,IT
75,915,4/1/2023,3/31/2024,Ongoing,Engineering
75,385,4/1/2023,3/31/2024,Ongoing,Finance
75,968,4/1/2023,3/31/2024,Ongoing,IT
76,669,5/1/2021,4/30/2022,Completed,Engineering
76,181,5/1/2021,4/30/2022,Completed,Marketing
76,856,5/1/2021,4/30/2022,Completed,HR
77,510,6/1/2022,5/31/2023,Completed,Engineering
77,70,6/1/2022,5/31/2023,Completed,IT
77,655,6/1/2022,5/31/2023,Completed,Finance
78,909,7/1/2023,6/30/2024,Ongoing,Engineering
78,371,7/1/2023,6/30/2024,Ongoing,IT
78,962,7/1/2023,6/30/2024,Ongoing,Operations
79,494,8/1/2023,7/31/2024,Ongoing,Engineering
79,42,8/1/2023,7/31/2024,Ongoing,IT
79,753,8/1/2023,7/31/2024,Ongoing,Finance
80,919,9/1/2023,8/31/2024,Ongoing,Engineering
80,403,9/1/2023,8/31/2024,Ongoing,Finance
80,37,9/1/2023,8/31/2024,Ongoing,Marketing
81,932,10/1/2023,9/30/2024,Ongoing,Engineering
81,447,10/1/2023,9/30/2024,Ongoing,Finance
81,999,10/1/2023,9/30/2024,Ongoing,IT
82,583,11/1/2023,10/31/2024,Ongoing,Engineering
82,84,11/1/2023,10/31/2024,Ongoing,IT
82,771,11/1/2023,10/31/2024,Ongoing,Marketing
83,516,12/1/2023,11/30/2024,Ongoing,Engineering
83,28,12/1/2023,11/30/2024,Ongoing,IT
83,743,12/1/2023,11/30/2024,Ongoing,Operations
84,993,1/1/2024,12/31/2024,Ongoing,Engineering
84,455,1/1/2024,12/31/2024,Ongoing,IT
84,8,1/1/2024,12/31/2024,Ongoing,Operations
85,998,2/1/2024,1/31/2025,Ongoing,Engineering
85,469,2/1/2024,1/31/2025,Ongoing,IT
85,80,2/1/2024,1/31/2025,Ongoing,Finance
86,981,3/1/2024,2/28/2025,Ongoing,Engineering
86,436,3/1/2024,2/28/2025,Ongoing,IT
86,951,3/1/2024,2/28/2025,Ongoing,Compliance
87,601,4/1/2024,3/31/2025,Ongoing,Engineering
87,102,4/1/2024,3/31/2025,Ongoing,IT
87,788,4/1/2024,3/31/2025,Ongoing,Operations
88,720,5/1/2024,4/30/2025,Ongoing,Engineering
88,197,5/1/2024,4/30/2025,Ongoing,Finance
88,883,5/1/2024,4/30/2025,Ongoing,IT
89,639,6/1/2024,5/31/2025,Ongoing,Engineering
89,150,6/1/2024,5/31/2025,Ongoing,Marketing
89,935,6/1/2024,5/31/2025,Ongoing,Operations
90,528,7/1/2024,6/30/2025,Ongoing,Engineering
90,39,7/1/2024,6/30/2025,Ongoing,IT
90,760,7/1/2024,6/30/2025,Ongoing,Operations
91,990,8/1/2024,7/31/2025,Ongoing,Engineering
91,459,8/1/2024,7/31/2025,Ongoing,Finance
91,12,8/1/2024,7/31/2025,Ongoing,Operations
92,1000,7/1/2023,6/30/2024,Completed,Engineering
92,473,7/1/2023,6/30/2024,Completed,Finance
92,33,7/1/2023,6/30/2024,Completed,IT
93,988,8/1/2023,7/31/2024,On Hold,Engineering
93,442,8/1/2023,7/31/2024,On Hold,Finance
93,963,8/1/2023,7/31/2024,On Hold,Operations
94,632,1/1/2025,12/31/2025,Ongoing,Engineering
94,144,1/1/2025,12/31/2025,Ongoing,IT
94,920,1/1/2025,12/31/2025,Ongoing,Marketing
95,313,9/1/2024,8/31/2025,Ongoing,IT
95,986,9/1/2024,8/31/2025,Ongoing,Finance
96,673,10/1/2024,9/30/2025,Ongoing,Engineering
96,187,10/1/2024,9/30/2025,Ongoing,Finance
96,962,10/1/2024,9/30/2025,Ongoing,Operations
97,574,1/1/2024,2/28/2025,Ongoing,Engineering
97,123,1/1/2024,2/28/2025,Ongoing,Marketing
97,906,1/1/2024,2/28/2025,Ongoing,Operations
98,804,12/1/2024,11/30/2025,Ongoing,Engineering
99,556,3/1/2024,2/28/2025,Ongoing,Engineering
99,67,3/1/2024,2/28/2025,Ongoing,Finance
99,852,3/1/2024,2/28/2025,Ongoing,IT
100,895,4/1/2024,3/31/2025,Ongoing,Engineering
100,418,4/1/2024,3/31/2025,Ongoing,Finance
100,20,4/1/2024,3/31/2025,Ongoing,Operations
101,946,5/1/2024,4/30/2025,Ongoing,Engineering
101,475,5/1/2024,4/30/2025,Ongoing,Finance
101,58,5/1/2024,4/30/2025,Ongoing,IT
102,955,6/1/2024,5/31/2025,Ongoing,Engineering
102,491,6/1/2024,5/31/2025,Ongoing,Finance
102,41,6/1/2024,5/31/2025,Ongoing,Marketing
103,964,7/1/2024,6/30/2025,Ongoing,Engineering
103,505,7/1/2024,6/30/2025,Ongoing,IT
103,53,7/1/2024,6/30/2025,Ongoing,Marketing
104,979,8/1/2024,7/31/2025,Ongoing,Engineering
104,522,8/1/2024,7/31/2025,Ongoing,Finance
104,74,8/1/2024,7/31/2025,Ongoing,Operations
105,994,9/1/2024,8/31/2025,Ongoing,Engineering
105,544,9/1/2024,8/31/2025,Ongoing,IT
105,96,9/1/2024,8/31/2025,Ongoing,Finance
106,16,10/1/2024,9/30/2025,Ongoing,Engineering
106,806,10/1/2024,9/30/2025,Ongoing,IT
106,307,10/1/2024,9/30/2025,Ongoing,Marketing
107,938,11/1/2024,10/31/2025,Ongoing,Engineering
107,485,11/1/2024,10/31/2025,Ongoing,IT
107,35,11/1/2024,10/31/2025,Ongoing,Compliance
108,957,12/1/2024,11/30/2025,Ongoing,Engineering
108,498,12/1/2024,11/30/2025,Ongoing,Finance
108,48,12/1/2024,11/30/2025,Ongoing,Operations
109,982,1/1/2025,12/31/2025,Ongoing,Engineering
109,527,1/1/2025,12/31/2025,Ongoing,Compliance
109,79,1/1/2025,12/31/2025,Ongoing,IT
110,13,2/1/2025,1/31/2026,Ongoing,Engineering
110,813,2/1/2025,1/31/2026,Ongoing,IT
110,314,2/1/2025,1/31/2026,Ongoing,Compliance
111,964,3/1/2025,2/28/2026,Ongoing,Engineering
111,517,3/1/2025,2/28/2026,Ongoing,Finance
111,68,3/1/2025,2/28/2026,Ongoing,IT
112,6,4/1/2025,3/31/2026,Ongoing,Engineering
112,806,4/1/2025,3/31/2026,Ongoing,Operations
112,308,4/1/2025,3/31/2026,Ongoing,IT
113,957,5/1/2025,4/30/2026,Ongoing,Engineering
113,510,5/1/2025,4/30/2026,Ongoing,IT
113,61,5/1/2025,4/30/2026,Ongoing,Marketing
114,10,6/1/2025,5/31/2026,Ongoing,Engineering
114,810,6/1/2025,5/31/2026,Ongoing,IT
114,311,6/1/2025,5/31/2026,Ongoing,Operations
115,985,7/1/2025,6/30/2026,Ongoing,Engineering
115,578,7/1/2025,6/30/2026,Ongoing,IT
115,147,7/1/2025,6/30/2026,Ongoing,HR
116,24,8/1/2024,7/31/2025,Ongoing,Engineering
116,824,8/1/2024,7/31/2025,Ongoing,Finance
116,325,8/1/2024,7/31/2025,Ongoing,Operations
117,975,9/1/2024,8/31/2025,Ongoing,Engineering
117,453,9/1/2024,8/31/2025,Ongoing,Finance
117,5,9/1/2024,8/31/2025,Ongoing,IT
118,990,10/1/2024,9/30/2025,Ongoing,Engineering
118,471,10/1/2024,9/30/2025,Ongoing,IT
118,22,10/1/2024,9/30/2025,Ongoing,Marketing
119,18,11/1/2024,10/31/2025,Ongoing,Engineering
119,818,11/1/2024,10/31/2025,Ongoing,HR
